"","x"
"1352",13635
"1353",13640
"1354",13656
"1355",13668
"1356",13670
"1357",13693
"1358",13695
"1359",13699
"1360",13702
"1361",13708
"1362",13716
"1363",13739
"1364",13749
"1365",13754
"1366",13773
"1367",13778
"1368",13783
"1369",13785
"1370",13791
"1371",13800
"1372",13807
"1373",13810
"1374",13819
"1375",13832
"1376",13836
"1377",13839
"1378",13847
"1379",13895
"1380",13902
"1381",13907
"1382",13908
"1383",13913
"1384",13919
"1385",13921
"1386",13924
"1387",13932
"1388",13933
"1389",13936
"1390",13944
"1391",13949
"1392",13955
"1393",13961
"1394",13978
"1395",13990
"1396",13997
"1397",14007
"1398",14008
"1399",14038
"1400",14056
"1401",14063
"1402",14064
"1403",14073
"1404",14079
"1405",14093
"1406",14104
"1407",14107
"1408",14109
"1409",14112
"1410",14114
"1411",14119
"1412",14130
"1413",14134
"1414",14137
"1415",14138
"1416",14157
"1417",14166
"1418",14167
"1419",14173
"1420",14181
"1421",14193
"1422",14205
"1423",14213
"1424",14223
"1425",14225
"1426",14229
"1427",14233
"1428",14235
"1429",14241
"1430",14247
"1431",14251
"1432",14263
"1433",14272
"1434",14274
"1435",14299
"1436",14309
"1437",14310
"1438",14317
"1439",14322
"1440",14339
"1441",14345
"1442",14348
"1443",14351
"1444",14375
"1445",14385
"1446",14398
"1447",14400
"1448",14408
"1449",14410
"1450",14436
"1451",14437
"1452",14439
"1453",14444
"1454",14451
"1455",14452
"1456",14454
"1457",14455
"1458",14466
"1459",14476
"1460",14479
"1461",14482
"1462",14485
"1463",14492
"1464",14519
"1465",14544
"1466",14582
"1467",14619
"1468",14631
"1469",14638
"1470",14648
"1471",14649
"1472",14657
"1473",14692
"1474",14697
"1475",14702
"1476",14705
"1477",14713
"1478",14716
"1479",14719
"1480",14724
"1481",14755
"1482",14756
"1483",14791
"1484",14792
"1485",14797
"1486",14798
"1487",14801
"1488",14816
"1489",14835
"1490",14837
"1491",14838
"1492",14840
"1493",14856
"1494",14868
"1495",14874
"1496",14875
"1497",14880
"1498",14891
"1499",14892
"1500",14893
"1501",14894
"1502",14911
"1503",14912
"1504",14916
"1505",14928
"1506",14936
"1507",14940
"1508",14951
"1509",14956
"1510",14961
"1511",14963
"1512",14967
"1513",14968
"1514",14970
"1515",14980
"1516",14984
"1517",14992
"1518",14994
"1519",15003
"1520",15004
"1521",15005
"1522",15014
"1523",15016
"1524",15018
"1525",15028
"1526",15037
"1527",15041
"1528",15062
"1529",15063
"1530",15073
"1531",15079
"1532",15084
"1533",15094
"1534",15119
"1535",15126
"1536",15138
"1537",15142
"1538",15146
"1539",15149
"1540",15162
"1541",15166
"1542",15167
"1543",15177
"1544",15179
"1545",15182
"1546",15184
"1547",15187
"1548",15205
"1549",15210
"1550",15213
"1551",15232
"1552",15237
"1553",15241
"1554",15242
"1555",15250
"1556",15255
"1557",15261
"1558",15266
"1559",15274
"1560",15280
"1561",15295
"1562",15370
"1563",15371
"1564",15375
"1565",15380
"1566",15410
"1567",15422
"1568",15423
"1569",15425
"1570",15428
"1571",15433
"1572",15437
"1573",15451
"1574",15494
"1575",15509
"1576",15514
"1577",15523
"1578",15532
"1579",15535
"1580",15543
"1581",15549
"1582",15552
"1583",15564
"1584",15577
"1585",15585
"1586",15589
"1587",15603
"1588",15606
"1589",15625
"1590",15628
"1591",15631
"1592",15633
"1593",15638
"1594",15639
"1595",15641
"1596",15646
"1597",15647
"1598",15653
"1599",15671
"1600",15676
"1601",15679
"1602",15693
"1603",15702
"1604",15710
"1605",15711
"1606",15722
"1607",15726
"1608",15732
"1609",15747
"1610",15759
"1611",15761
"1612",15762
"1613",15772
"1614",15780
"1615",15804
"1616",15820
"1617",15829
"1618",15830
"1619",15833
"1620",15837
"1621",15853
"1622",15855
"1623",15860
"1624",15876
"1625",15878
"1626",15880
"1627",15883
"1628",15888
"1629",15890
"1630",15892
"1631",15896
"1632",15902
"1633",15904
"1634",15906
"1635",15916
"1636",15919
"1637",15924
"1638",15930
"1639",15935
"1640",15949
"1641",15956
"1642",15957
"1643",15958
"1644",15982
"1645",16002
"1646",16004
"1647",16010
"1648",16017
"1649",16018
"1650",16036
"1651",16047
"1652",16052
"1653",16057
"1654",16061
"1655",16068
"1656",16071
"1657",16078
"1658",16093
"1659",16100
"1660",16110
"1661",16114
"1662",16118
"1663",16119
"1664",16121
"1665",16132
"1666",16139
"1667",16141
"1668",16146
"1669",16153
"1670",16162
"1671",16182
"1672",16192
"1673",16194
"1674",16201
"1675",16202
"1676",16209
"1677",16216
"1678",16221
"1679",16225
"1680",16232
"1681",16233
"1682",16239
"1683",16241
"1684",16243
"1685",16246
"1686",16247
"1687",16253
"1688",16269
"1689",16273
"1690",16308
"1691",16310
"1692",16314
"1693",16316
"1694",16328
"1695",16333
"1696",16338
"1697",16346
"1698",16355
"1699",16358
"1700",16360
"1701",16376
"1702",16380
"1703",16385
"1704",16401
"1705",16404
"1706",16410
"1707",16424
"1708",16446
"1709",16461
"1710",16473
"1711",16489
"1712",16495
"1713",16496
"1714",16497
"1715",16522
"1716",16526
"1717",16528
"1718",16539
"1719",16550
"1720",16553
"1721",16557
"1722",16568
"1723",16578
"1724",16581
"1725",16582
"1726",16607
"1727",16608
"1728",16609
"1729",16613
"1730",16614
"1731",16638
"1732",16639
"1733",16652
"1734",16663
"1735",16676
"1736",16685
"1737",16686
"1738",16690
"1739",16695
"1740",16696
"1741",16698
"1742",16701
"1743",16712
"1744",16713
"1745",16719
"1746",16724
"1747",16727
"1748",16730
"1749",16743
"1750",16747
"1751",16749
"1752",16750
"1753",16762
"1754",16763
"1755",16770
"1756",16780
"1757",16782
"1758",16784
"1759",16795
"1760",16797
"1761",16806
"1762",16812
"1763",16834
"1764",16844
"1765",16852
"1766",16870
"1767",16887
"1768",16893
"1769",16908
"1770",16914
"1771",16937
"1772",16938
"1773",16945
"1774",16956
"1775",16957
"1776",16961
"1777",16974
"1778",16978
"1779",16991
"1780",17007
"1781",17014
"1782",17020
"1783",17022
"1784",17028
"1785",17035
"1786",17041
"1787",17046
"1788",17051
"1789",17053
"1790",17056
"1791",17079
"1792",17083
"1793",17086
"1794",17100
"1795",17101
"1796",17109
"1797",17119
"1798",17128
"1799",17131
"1800",17151
"1801",17154
"1802",17171
"1803",17172
"1804",17178
"1805",17179
"1806",17186
"1807",17190
"1808",17193
"1809",17205
"1810",17208
"1811",17213
"1812",17229
"1813",17244
"1814",17247
"1815",17260
"1816",17264
"1817",17273
"1818",17295
"1819",17298
"1820",17310
"1821",17314
"1822",17315
"1823",17316
"1824",17336
"1825",17339
"1826",17341
"1827",17345
"1828",17352
"1829",17362
"1830",17375
"1831",17403
"1832",17412
"1833",17423
"1834",17431
"1835",17438
"1836",17455
"1837",17459
"1838",17462
"1839",17486
"1840",17497
"1841",17500
"1842",17508
"1843",17511
"1844",17518
"1845",17524
"1846",17528
"1847",17530
"1848",17550
"1849",17552
"1850",17563
"1851",17567
"1852",17571
"1853",17574
"1854",17575
"1855",17590
"1856",17601
"1857",17602
"1858",17609
"1859",17619
"1860",17623
"1861",17624
"1862",17648
"1863",17658
"1864",17661
"1865",17662
"1866",17675
"1867",17677
"1868",17680
"1869",17681
"1870",17691
"1871",17695
"1872",17707
"1873",17728
"1874",17738
"1875",17750
"1876",17752
"1877",17762
"1878",17776
"1879",17777
"1880",17786
"1881",17800
"1882",17811
"1883",17813
"1884",17837
"1885",17843
"1886",17845
"1887",17856
"1888",17860
"1889",17877
"1890",17884
"1891",17886
"1892",17887
"1893",17892
"1894",17916
"1895",17919
"1896",17923
"1897",17924
"1898",17929
"1899",17935
"1900",17945
"1901",17948
"1902",17954
"1903",17974
"1904",17983
"1905",17986
"1906",17991
"1907",17992
"1908",17993
"1909",17995
"1910",17999
"1911",18023
"1912",18026
"1913",18042
"1914",18054
"1915",18061
"1916",18068
"1917",18070
"1918",18086
"1919",18093
"1920",18101
"1921",18116
"1922",18122
"1923",18129
"1924",18135
"1925",18139
"1926",18148
"1927",18160
"1928",18171
"1929",18177
"1930",18184
"1931",18216
"1932",18220
"1933",18229
"1934",18237
"1935",18246
"1936",18255
"1937",18263
"1938",18271
"1939",18275
"1940",18276
"1941",18290
"1942",18291
"1943",18298
"1944",18312
"1945",18329
"1946",18343
"1947",18358
"1948",18360
"1949",18364
"1950",18401
"1951",18406
"1952",18411
"1953",18415
"1954",18444
"1955",18448
"1956",18449
"1957",18453
"1958",18469
"1959",18489
"1960",18498
"1961",18502
"1962",18528
"1963",18535
"1964",18539
"1965",18540
"1966",18541
"1967",18550
"1968",18558
"1969",18561
"1970",18573
"1971",18583
"1972",18586
"1973",18587
"1974",18616
"1975",18633
"1976",18652
"1977",18660
"1978",18662
"1979",18663
"1980",18669
"1981",18672
"1982",18673
"1983",18674
"1984",18675
"1985",18682
"1986",18683
"1987",18687
"1988",18690
"1989",18702
"1990",18705
"1991",18711
"1992",18719
"1993",18720
"1994",18727
"1995",18738
"1996",18739
"1997",18741
"1998",18769
"1999",18777
"2000",18791
"2001",18801
"2002",18853
"2003",18854
"2004",18857
"2005",18869
"2006",18876
"2007",18894
"2008",18895
"2009",18907
"2010",18908
"2011",18921
"2012",18931
"2013",18940
"2014",18946
"2015",18949
"2016",18960
"2017",18962
"2018",18997
"2019",19018
"2020",19025
"2021",19027
"2022",19046
"2023",19050
"2024",19075
"2025",19082
"2026",19086
"2027",19090
"2028",19091
"2029",19094
"2030",19101
"2031",19103
"2032",19104
"2033",19112
"2034",19123
"2035",19139
"2036",19144
"2037",19155
"2038",19158
"2039",19162
"2040",19173
"2041",19195
"2042",19209
"2043",19213
"2044",19225
"2045",19226
"2046",19243
"2047",19249
"2048",19269
"2049",19270
"2050",19280
"2051",19295
"2052",19307
"2053",19322
"2054",19328
"2055",19330
"2056",19335
"2057",19346
"2058",19361
"2059",19364
"2060",19367
"2061",19376
"2062",19377
"2063",19385
"2064",19391
"2065",19397
"2066",19406
"2067",19409
"2068",19417
"2069",19436
"2070",19454
"2071",19461
"2072",19473
"2073",19489
"2074",19492
"2075",19499
"2076",19500
"2077",19503
"2078",19511
"2079",19513
"2080",19523
"2081",19533
"2082",19537
"2083",19544
"2084",19545
"2085",19550
"2086",19567
"2087",19569
"2088",19570
"2089",19571
"2090",19584
"2091",19593
"2092",19602
"2093",19614
"2094",19642
"2095",19644
"2096",19646
"2097",19648
"2098",19662
"2099",19663
"2100",19677
"2101",19678
"2102",19681
"2103",19690
"2104",19730
"2105",19752
"2106",19760
"2107",19771
"2108",19773
"2109",19774
"2110",19783
"2111",19784
"2112",19795
"2113",19796
"2114",19804
"2115",19810
"2116",19814
"2117",19820
"2118",19845
"2119",19850
"2120",19853
"2121",19859
"2122",19862
"2123",19865
"2124",19867
"2125",19875
"2126",19887
"2127",19895
"2128",19897
"2129",19923
"2130",19934
"2131",19936
"2132",19940
"2133",19947
"2134",19949
"2135",19959
"2136",20005
"2137",20010
"2138",20011
"2139",20049
"2140",20056
"2141",20075
"2142",20078
"2143",20081
"2144",20092
"2145",20104
"2146",20113
"2147",20143
"2148",20145
"2149",20172
"2150",20177
"2151",20190
